1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0.0980745260902296
1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0.352054794512256
0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0.602638175350556
0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0.217460413516211
1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1.59154299767895
0	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	-0.111224956057217
0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	-0.0754729728970141
1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	0.835211306638655
0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0.317859940711912
1	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	0.0221045403972830
1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0.309594693666266
0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0.225920063554188
0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0.383473284029520
0	1	1	0	1	0	1	1	0	0	1	0	1	0	1	1	0.474540501625711
1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0.159549106389996
1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0.0842826940501311
0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0.0395720210401151
1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0.155589977195955
0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0.976241422940078
1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0.657355086286383
1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0.310061575498441
0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0.837636713758926
1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0.353560177513174
1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	0.202103948030167
1	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0.0350830062470884
0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0.0160835970216624
1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0.292380266680784
0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0.225519494709829
1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1.06655003347593
1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0.837921600546277
1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0.209552741405215
0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	0.332785551908522
1	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	-0.0928949249003495
1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	-0.0385234554908216
0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0.380023673244100
1	0	1	0	1	1	1	1	1	0	0	1	1	0	0	0	0.671906797709024
0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0.397296915800045
1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0.285032784294351
0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0.688968160432779
0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0.00881874536508676
1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0.349047234464312
1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0.376317561249923
1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0.411535826985404
0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	1.10058399985304
0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0.182052529580922
0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	-0.0766723889000538
1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	-0.0606180372526950
1	1	0	1	1	1	0	0	1	1	0	0	0	1	1	1	0.127679053786959
0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0.0458636832884913
0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	0.764220267513732
1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0.382598622872489
0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0.830688295164858
1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0.564627482868417
1	0	0	1	1	0	1	0	1	1	1	1	1	0	1	1	0.346232709921100
1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0.455048901949219
0	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0.234952601446597
1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0.505489040196533
1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0.857350873000666
1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0.0898135747848450
1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0.339574929786245
0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1.25427502334984
